,TotalSleepInCol,WokeCounts,SEMarkers,TotalSleepInColBlock,RecallBlock,F1,SEOnlyREST,SESelfBlock,WASO,Recall,PrecisionBlock,SEGTBlock,TotalSleepTime,Specificity,Precision,PercentSleepBlock,SpecificityBlock,SESelfBlock5Min,~F1Block,SEInterval,F1Block,Accuracy,SEWholeDF,~F1,PercentSleep,AccuracyBlock,DeltaStartBlock,DeltaEndBlock
sazonov,67133.3  +- 13754.8 ,3190.5  +- 1182.6 ,65.4  +- 13.4 ,84727.4  +- 23446.3 ,88.1  +- 20.3 ,78.7  +- 9.7 ,71.9  +- 9.9 ,70.7  +- 12.9 ,27938.1  +- 14255.2 ,77.1  +- 12.5 ,93.9  +- 9.5 ,69.7  +- 13.4 ,62173.8  +- 13367.2 ,76.7  +- 14.4 ,81.9  +- 10.7 ,67.5  +- 17.6 ,86.3  +- 20.5 ,97.6  +- 3.3 ,76.8  +- 22.4 ,69.3  +- 11.8 ,88.7  +- 17.2 ,77.3  +- 9.0 ,53.9  +- 11.7 ,73.2  +- 12.9 ,53.9  +- 11.7 ,86.2  +- 16.7 ,1740 +- 2170,3397 +- 5700
tl_sazonov,86982.1  +- 16502.8 ,152.4  +- 151.7 ,84.2  +- 13.2 ,64635.7  +- 41309.1 ,65.6  +- 42.5 ,83.1  +- 8.5 ,91.2  +- 8.2 ,95.2  +- 6.5 ,10619.0  +- 11469.5 ,92.6  +- 9.8 ,75.4  +- 37.6 ,88.7  +- 11.8 ,79492.9  +- 15338.9 ,60.4  +- 18.7 ,76.3  +- 10.5 ,52.2  +- 33.2 ,82.6  +- 21.8 ,91.9  +- 16.4 ,65.5  +- 26.2 ,88.6  +- 10.6 ,65.9  +- 40.6 ,79.3  +- 9.4 ,69.6  +- 12.7 ,69.4  +- 17.1 ,69.6  +- 12.7 ,70.7  +- 29.3 ,2179 +- 2638,10859 +- 12717
resc_sazonov,40779.8  +- 17383.1 ,1658.3  +- 618.8 ,41.8  +- 18.6 ,45421.4  +- 30882.3 ,51.0  +- 34.1 ,62.9  +- 20.3 ,45.7  +- 18.0 ,67.4  +- 21.5 ,50565.5  +- 22314.0 ,51.7  +- 21.4 ,95.2  +- 19.2 ,44.9  +- 20.1 ,39546.4  +- 17500.1 ,92.0  +- 9.8 ,89.9  +- 12.1 ,37.0  +- 25.4 ,97.6  +- 9.1 ,96.1  +- 18.6 ,61.3  +- 23.2 ,44.1  +- 18.7 ,59.6  +- 32.8 ,69.4  +- 12.9 ,33.1  +- 14.7 ,71.6  +- 12.6 ,33.1  +- 14.7 ,63.3  +- 25.5 ,3915 +- 4312,9424 +- 8459
resc_tl_sazonov,76279.8  +- 18461.7 ,150.0  +- 155.6 ,75.8  +- 16.7 ,59039.3  +- 35009.9 ,63.9  +- 37.4 ,82.2  +- 11.2 ,82.8  +- 12.8 ,92.0  +- 12.2 ,18272.6  +- 16152.2 ,85.7  +- 14.8 ,88.3  +- 27.7 ,80.3  +- 16.6 ,71839.3  +- 17583.5 ,71.3  +- 19.0 ,80.7  +- 11.2 ,48.1  +- 28.5 ,91.3  +- 17.2 ,98.9  +- 2.8 ,67.6  +- 25.0 ,80.0  +- 15.1 ,68.3  +- 35.6 ,80.2  +- 10.5 ,61.2  +- 15.0 ,74.0  +- 16.3 ,61.2  +- 15.0 ,70.9  +- 27.9 ,2249 +- 2534,9569 +- 11817
tl_resc_sazonov,89972.6  +- 16302.9 ,106.0  +- 121.6 ,85.7  +- 12.2 ,68578.6  +- 40849.1 ,68.4  +- 41.2 ,81.5  +- 8.7 ,91.7  +- 7.5 ,96.6  +- 5.3 ,9538.1  +- 10339.4 ,92.5  +- 9.4 ,75.9  +- 36.4 ,89.8  +- 10.8 ,80573.8  +- 15259.1 ,55.0  +- 18.5 ,73.7  +- 10.6 ,55.2  +- 32.6 ,79.5  +- 21.9 ,89.1  +- 18.8 ,64.7  +- 25.2 ,89.6  +- 9.5 ,68.1  +- 39.3 ,77.0  +- 9.7 ,72.0  +- 12.2 ,65.0  +- 17.6 ,72.0  +- 12.2 ,71.9  +- 28.2 ,2243 +- 2551,10044 +- 12098
sazonov_max,269.0  +- 2465.9 ,1.2  +- 10.9 ,0.2  +- 2.3 ,269.0  +- 2465.9 ,0.3  +- 3.0 ,0.5  +- 4.9 ,0.3  +- 3.0 ,1.2  +- 10.9 ,89842.9  +- 15510.8 ,0.4  +- 3.2 ,1.2  +- 10.9 ,0.3  +- 3.0 ,269.0  +- 2465.9 ,100.0  +- 0.1 ,1.2  +- 10.8 ,0.2  +- 2.3 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.4  +- 14.6 ,0.3  +- 3.0 ,0.5  +- 4.7 ,43.1  +- 10.4 ,0.2  +- 2.3 ,59.4  +- 10.7 ,0.2  +- 2.3 ,28.1  +- 11.7 ,4168 +- 3651,6850 +- 4499
tl_sazonov_max,1553.6  +- 13019.5 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1436.9  +- 11955.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88579.8  +- 17712.3 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1532.1  +- 12824.0 ,98.8  +- 10.9 ,2.0  +- 13.1 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.2  +- 14.3 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7033 +- 4834
resc_tl_sazonov_max,1506.0  +- 12744.8 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1389.3  +- 11679.8 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.6  +- 11.2 ,2.4  +- 15.3 ,88627.4  +- 17567.9 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1484.5  +- 12549.2 ,98.8  +- 10.9 ,2.2  +- 13.9 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.4  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.1  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7039 +- 4856
sazonov2,57553.6  +- 14089.7 ,2315.5  +- 712.6 ,56.9  +- 14.4 ,78189.3  +- 25285.5 ,83.3  +- 23.2 ,74.6  +- 11.5 ,62.8  +- 11.7 ,65.5  +- 12.7 ,35984.5  +- 16600.3 ,68.3  +- 14.7 ,95.8  +- 7.8 ,60.9  +- 15.1 ,54127.4  +- 13782.4 ,82.7  +- 13.1 ,84.5  +- 10.5 ,62.4  +- 19.5 ,90.1  +- 18.3 ,98.5  +- 2.2 ,75.4  +- 23.1 ,60.4  +- 13.4 ,86.2  +- 19.4 ,74.9  +- 9.5 ,46.4  +- 12.2 ,72.9  +- 12.6 ,46.4  +- 12.2 ,83.9  +- 18.5 ,2123 +- 2500,3846 +- 6722
tl_sazonov2,76098.8  +- 16872.7 ,320.2  +- 211.0 ,75.0  +- 16.6 ,58745.2  +- 38683.7 ,61.5  +- 40.7 ,80.9  +- 10.8 ,82.2  +- 12.5 ,89.8  +- 11.4 ,19503.6  +- 16054.0 ,84.4  +- 14.8 ,79.2  +- 36.3 ,79.1  +- 16.5 ,70608.3  +- 16444.8 ,69.2  +- 17.6 ,79.2  +- 10.4 ,47.4  +- 31.3 ,87.7  +- 20.1 ,94.2  +- 15.8 ,66.2  +- 26.3 ,79.2  +- 14.7 ,64.5  +- 39.3 ,78.7  +- 10.1 ,61.3  +- 14.6 ,72.1  +- 15.3 ,61.3  +- 14.6 ,69.2  +- 29.2 ,2256 +- 2627,11105 +- 12583
